조사지,반복,1수영화수_개화기,CVI_개화기,CVI_개화후2주,CVI_개화후4주,CVI_분얼전기,CVI_분얼후기,CVI_수확기,GNDVI_개화기,GNDVI_개화후2주,GNDVI_개화후4주,GNDVI_분얼전기,GNDVI_분얼후기,GNDVI_수확기,LAI_개화기,LAI_개화후2주,LAI_개화후4주,LAI_분얼전기,LAI_분얼후기,LAI_수확기,NDRE_개화기,NDRE_개화후2주,NDRE_개화후4주,NDRE_분얼전기,NDRE_분얼후기,NDRE_수확기,NDVI_개화기,NDVI_개화후2주,NDVI_개화후4주,NDVI_분얼전기,NDVI_분얼후기,NDVI_수확기,RVI_개화기,RVI_개화후2주,RVI_개화후4주,RVI_분얼전기,RVI_분얼후기,RVI_수확기,SPAD_개화기,SPAD_개화후2주,SPAD_개화후4주,SPAD_분얼전기,SPAD_분얼후기,SPAD_수확기,간장(cm)_개화기,간장(cm)_개화후2주,간장(cm)_개화후4주,간장(cm)_수확기,수량(g/(50*50)cm2)_수확기,수량(g/m2)_수확기,수장(cm)_개화기,수장(cm)_개화후2주,수장(cm)_개화후4주,수장(cm)_수확기,유수길이(mm)_분얼전기,일수립수_수확기,초장(cm)_분얼전기,초장(cm)_분얼후기,관개,시비,파종
Plot 2,1,49,0.08476894629166667,0.055715710703125004,0.05133978925520833,0.032519473828125,0.049626314760416665,0.06416344250520833,0.8676441444270834,0.77495301859375,0.61287140328125,0.7467156202604167,0.8353207415625,0.5229881430729166,4.29,0.57,1.72,1.29,2.81,0.5,0.6337261024999999,0.4695627983854167,0.18810041041666667,0.43345501796874997,0.5998072194270833,0.13983304942708333,0.91855023171875,0.8367602434895834,0.5443840682291666,0.871021211875,0.923513291875,0.23108189213541666,23.641057916666668,11.352355940104166,3.4273143249999998,15.158777282812501,25.296132359374997,1.6045313369791667,52.6,52.2,18.3,33.8,45.9,3.4,89,70,85,76,96.71499999999999,386.85999999999996,10,8,9,9,0.6,38,25,66,0,1,0
Plot 2,2,29,0.07153061340932643,0.06933604221243524,0.05639894644559585,0.02948068874611399,0.041106180518134715,0.061379232901554406,0.8418486596373057,0.817155651761658,0.6384073384974094,0.6554513466839378,0.7868299443523316,0.5211764444559586,4.33,0.53,1.68,1.34,2.93,0.67,0.5878547823316063,0.527507247357513,0.20933189160621762,0.3193878398445596,0.5206475666839379,0.1432895541088083,0.8999248886528497,0.8691256879792747,0.5700632012435234,0.7714725937823834,0.8894181364766839,0.25161113222797926,19.029014538860103,14.32015473834197,3.6868869481865283,8.121827031606218,17.232273378238343,1.684171612435233,54.8,39,11.8,29.3,49.3,3.4,87,70,83,73,87.2735,349.094,8,9,8,9,0.6,35,26,65,0,1,0
Plot 2,3,42,0.08082395576683937,0.06997024376165803,0.052144066813471494,0.03340371403626943,0.04407681938341969,0.06781340504145077,0.8636646954404146,0.8192118180829016,0.6693362352331607,0.6617396615025907,0.8065334060103627,0.5435356268393783,4.32,0.67,6.67,1.47,3.31,0.76,0.6235945539896373,0.5398820973056995,0.2597901801554404,0.35299945321243525,0.5566901669430051,0.15682576842487048,0.9172883963212435,0.8719091573056995,0.6598064981865285,0.7526571970984456,0.9038634417098445,0.26014936968911917,23.24503169430052,14.909202170984457,4.984910140414508,7.82245693419689,20.028277834196892,1.707057741450777,51.1,51,15.3,35,50.4,5.1,84,75,86,74,71.66799999999999,286.67199999999997,8,9,10.5,7.5,0.7,32,31,67,0,1,0
Plot 2,4,33,0.07648196615544041,0.06992941334196892,0.06333098375129534,0.030674804103626944,0.04053166594818653,0.06712964880829016,0.8516384387564767,0.8177625915025906,0.6802134186528497,0.6869459645595856,0.792181508238342,0.5378045297409326,3.97,0.77,5.11,1.38,3.32,0.78,0.6005074100000001,0.533708914507772,0.2684424565803109,0.3602760299481865,0.5309724311917099,0.15370033509844558,0.9065340597927461,0.8692484940414508,0.6277139854404146,0.8061745007772021,0.8965296156476684,0.2585682723834197,20.559021373056996,14.401974694300517,4.408789244041451,9.957377716062176,18.680314974093264,1.7087806077720207,49.8,46.1,9.2,33.8,50,4.9,88,69,78,64,148.948,595.792,8,8,8,8.5,0.7,37,28,69,0,1,0
Plot 2,5,33,0.07736950622797928,0.06949345961658032,0.058652891720207254,0.032450280274611394,0.04198398709844559,0.06446966983937824,0.8534257876165803,0.8151824149740932,0.6637026929533679,0.6553617226943005,0.7908960873575129,0.533744940880829,4.07,0.7,3,1.4,3,0.86,0.6067010678756477,0.5268633892746114,0.24866493347150256,0.3400659167357513,0.5337164105181347,0.15835876267357513,0.9079695978238341,0.8661012429015544,0.6149811631088083,0.7486272514507772,0.8913896058031088,0.26052639155440416,20.821331077720206,13.994195233160621,4.23771967253886,7.812826684455959,17.85579815284974,1.7097563487046634,49.7,53.4,10.3,34.2,44.8,7.5,85,75,77,72,114.64349999999999,458.57399999999996,9,8,10,6.5,0.9,41,30,57,0,1,0
Plot 2,6,36,0.084492011373057,0.05321096,0.05638971256476684,0.030641010746113993,0.043798558321243526,0.06022494801036269,0.8736007823316062,0.7602811343523317,0.6597099277720208,0.7245282033678757,0.8240603125388601,0.5263863570466322,3.67,2.63,1.28,1.2,1.81,0.89,0.6463189005181347,0.46486449787564765,0.26523757373056994,0.41254814880829016,0.5811810485492228,0.14889666427979273,0.9261714837823835,0.8210971450259068,0.6170146952331607,0.8545552933160622,0.9218679358549223,0.2680785810362694,26.165365424870465,10.24617060984456,4.267998210880829,13.18290936165803,24.77225992227979,1.7383251818652852,49.8,50,35.7,35.7,40.5,3,84,65,82,75,144.486,577.944,8.5,9.5,10,8,1.1,34,28,65,0,1,0
Plot 2,7,37,0.08110007299481867,0.05403267076165803,0.0542942619119171,0.03064642067357513,0.04399440926943005,0.05947456447150259,0.8729086310362694,0.766621051761658,0.6527208239378238,0.699334814611399,0.8255553715544042,0.5100916065803109,3.53,2.76,2.27,1.25,2.21,1.06,0.639632799015544,0.4718713978238342,0.25101920098445596,0.40236989041450777,0.5841154685492228,0.1318930209585492,0.9283469012435234,0.8285097662694301,0.6129665797927462,0.8162199078756477,0.922749175284974,0.23203678974093261,27.004427015544042,10.826153896373057,4.254863209326425,11.810881388082901,25.602055937823835,1.6055858813471502,60.3,46.4,47.2,29.6,42.4,2.8,80,72,82,83,95.03599999999999,380.14399999999995,8,8,9,8.5,0.8,28,27,60,0,1,0
Plot 2,8,39,0.0732971252849741,0.05668067035751295,0.05025802888601036,0.029820722896373057,0.04149484518134715,0.06229203724352331,0.858620369896373,0.778863775595855,0.6589182743523316,0.6771578787564767,0.8084207739378239,0.5268717550259067,3.23,2.47,2.48,1.19,2.01,1.08,0.6118401804145077,0.4816096161658031,0.25378190906735754,0.3618910001036269,0.5585665627979275,0.1448170821761658,0.9188653597927462,0.8407541894818653,0.6496463213471503,0.7986571841450778,0.9110728811398965,0.25789925974093264,23.745152113989636,11.919682849740934,4.818155709326425,9.464835250777202,21.889809906735753,1.705588952849741,48,47.3,39.5,31.1,43.1,5.3,79,71,78,83,86.7445,346.978,10,9,9.5,8.5,1.1,32,30,63,0,1,0
Plot 2,9,39,0.07553042750777202,0.05932312849740933,0.05270626029533679,0.02844273888601036,0.04330437321761658,0.06356204451813471,0.8652635814507772,0.7848600638860104,0.6349308113471502,0.6935334098445595,0.8279706604145077,0.5271384755440415,3.66,2.77,2.01,1.18,1.78,0.98,0.6262936493782384,0.49231788911917096,0.22003724010362696,0.379616809119171,0.58397849746114,0.14383146035751296,0.9243649496891192,0.8432502256994818,0.5844481400518134,0.8278830051813472,0.9263965542487047,0.2477192769430052,25.516567601036268,12.090785178756477,3.8449206652849743,11.18820256943005,26.307618222797927,1.6638025248704662,48.5,50.1,37.3,33.8,39.3,6.2,81,66,80,70,30.371499999999997,121.48599999999999,10,8,8,7.5,0.9,35,31,66,0,1,0
Plot 2,10,39,0.08266101424352332,0.05627998774093265,0.0516537780880829,0.03135245889637305,0.046274134725388605,0.0606042574507772,0.8740894938341969,0.7841815947668394,0.6471021467357513,0.7065999917098446,0.8345698224352331,0.5190127446632125,3.07,2.53,2.09,1.26,1.83,0.98,0.6431050532124353,0.49484689725388603,0.24002466740932643,0.4069707015544042,0.5949466727979275,0.144924518626943,0.9284546310362695,0.8500397615025906,0.6175341583419689,0.8289299717098446,0.9277883886528497,0.24697478792746114,27.053475689119175,12.551513411917098,4.268620361658031,11.22499805595855,26.816599751295335,1.6629182844559587,53,51.9,38.2,30.8,45.8,7.2,80,76,82,65,65.9525,263.81,9,9.8,9,8,0.7,32,27,63,0,1,0
