Feature ID,240426_NDVI,240426_NDRE,240426_GNDVI,240426_RVI,240426_CVI,240426_NGRDI,240426_GLI,240426_VARI,240426_BI,240426_CI,240426_RI,240426_CIRE,240426_GI,240426_TVI,240426_CIG
60,0.8241078,0.40238997,0.7452308,10.370605,4.5248857,0.20442457,0.30359802,0.27098864,0.03669698,-0.20442457,10.075893,1.3466642,0.66054404,10.133366,-0.85401976
60,0.84132135,0.40583006,0.7478921,11.604092,4.1423306,0.2519789,0.34001395,0.33269653,0.03748911,-0.2519789,7.8433003,1.3660405,0.597471,10.801323,-0.85576457
60,0.8516677,0.4117743,0.7466828,12.483233,3.8086562,0.2883608,0.3583885,0.3858782,0.038031276,-0.2883608,6.4805365,1.4000554,0.5523602,11.101849,-0.8549724
60,0.8595579,0.41562545,0.74683934,13.240753,3.5958452,0.314814,0.38373107,0.41586092,0.040003125,-0.314814,5.4131527,1.4224625,0.5211277,11.840204,-0.85507506
60,0.8560305,0.4120825,0.7484647,12.891826,3.7480145,0.29938307,0.36771488,0.39938366,0.039165124,-0.29938307,5.963342,1.4018376,0.539192,11.605381,-0.8561393
60,0.86027545,0.40548483,0.7443349,13.313879,3.4963288,0.32235536,0.3802344,0.432665,0.039280854,-0.32235536,5.311852,1.3640857,0.5124527,11.514593,-0.85343117
60,0.859116,0.41133663,0.74425167,13.196073,3.5249102,0.31853524,0.380954,0.4249022,0.040186115,-0.31853524,5.2907944,1.3975275,0.51683474,11.753832,-0.8533765
60,0.8616021,0.40616024,0.7388075,13.451094,3.2947617,0.33786607,0.40178242,0.44448695,0.04176201,-0.33786607,4.627484,1.3679118,0.49491796,11.977938,-0.8497864
60,0.8518118,0.39738935,0.7420681,12.496355,3.650369,0.29829973,0.3712093,0.39484096,0.04143377,-0.29829973,5.666755,1.3188925,0.5404763,11.86445,-0.85193926
60,0.8274326,0.39061832,0.73325896,10.589669,3.9871705,0.23945819,0.32521167,0.31964085,0.041232374,-0.23945819,7.5756445,1.2820153,0.6136083,10.930004,-0.8461043
60,0.87413484,0.42220068,0.76044697,14.890023,3.6269968,0.33909678,0.3992622,0.44881126,0.039538793,-0.33909678,4.85793,1.4614096,0.493544,12.733795,-0.86392486
60,0.88028055,0.4227127,0.7610959,15.705719,3.4598796,0.36114132,0.4152367,0.47705793,0.038766064,-0.36114132,4.438832,1.4644794,0.46935514,12.648533,-0.8643435
60,0.87246,0.42747262,0.757546,14.681351,3.579221,0.3389079,0.4006466,0.44733742,0.040347226,-0.3389079,4.765056,1.4932828,0.49375474,12.788633,-0.8620497
60,0.8595385,0.4043937,0.7398388,13.238777,3.3781962,0.32877314,0.39858568,0.43020767,0.043005165,-0.32877314,4.700601,1.3579228,0.5051478,12.350031,-0.85046816
60,0.8463478,0.39563638,0.7383217,12.016415,3.6724029,0.28797513,0.36887783,0.37782568,0.042721983,-0.28797513,5.779851,1.3092661,0.55282503,11.935122,-0.849465
60,0.8281545,0.39171985,0.73599094,10.638359,4.064268,0.23602287,0.32490253,0.3137854,0.040929593,-0.23602287,7.7591724,1.2879586,0.618093,10.980846,-0.8479202
60,0.81841534,0.3781597,0.73398525,10.014153,4.242922,0.21144816,0.30892015,0.28019035,0.039269146,-0.21144816,9.103166,1.21626,0.6509167,10.273772,-0.84658766
60,0.8204247,0.3810972,0.72704977,10.137387,3.9492683,0.23140647,0.33201683,0.30179462,0.041127272,-0.23140647,7.895627,1.2315252,0.6241591,10.51416,-0.8419558
60,0.87879366,0.41770366,0.76886666,15.500787,3.7784288,0.33894104,0.3891647,0.45693043,0.04042776,-0.33894104,4.754782,1.4346774,0.49371773,13.642853,-0.86933255
60,0.88433343,0.43092725,0.7700032,16.291084,3.6354191,0.3583342,0.40947407,0.47667757,0.03987338,-0.3583342,4.3767023,1.5144892,0.4723917,13.655836,-0.87005854
60,0.8915457,0.43407944,0.7711692,17.44095,3.4349535,0.38524514,0.437274,0.50357395,0.039095875,-0.38524514,3.8971071,1.534065,0.44378778,13.624905,-0.8708024
60,0.8873325,0.42743242,0.7715804,16.751348,3.590913,0.36705738,0.41670042,0.4870646,0.039565172,-0.36705738,4.221841,1.4930372,0.46299636,13.721165,-0.8710644
60,0.87289006,0.41798666,0.7564662,14.7344,3.5304408,0.342737,0.4008795,0.45433113,0.041685145,-0.342737,4.525243,1.4363472,0.48949498,13.157551,-0.8613502
60,0.85910624,0.39147815,0.74761105,13.19509,3.6335952,0.31168044,0.38015807,0.41278255,0.04137702,-0.31168044,5.3145795,1.2866528,0.5247616,12.27865,-0.85558057
60,0.8481304,0.38911152,0.7408224,12.169198,3.7072506,0.2887063,0.3600726,0.38530242,0.041164655,-0.2887063,5.977179,1.27392,0.55194396,11.65468,-0.85111773
60,0.82700735,0.36763218,0.7311869,10.561186,3.927124,0.24239737,0.32234553,0.32662943,0.04066644,-0.24239737,7.572919,1.1627164,0.6097909,10.684809,-0.8447233
60,0.8207117,0.3799326,0.7290329,10.15522,4.009439,0.22824204,0.32044938,0.30279598,0.041692972,-0.22824204,7.9081492,1.2254558,0.6283435,10.745827,-0.84328395
60,0.8249579,0.38219112,0.72792846,10.425824,3.8687873,0.24288355,0.32608792,0.32517567,0.043333307,-0.24288355,7.0902023,1.237247,0.6091612,11.20215,-0.8425447
60,0.8571638,0.4085731,0.7556458,13.002055,3.9702926,0.28816772,0.36248648,0.38260308,0.04115146,-0.28816772,5.994808,1.3816521,0.5525929,12.601549,-0.8608181
60,0.8731437,0.41978374,0.7661074,14.765875,3.8613741,0.3232964,0.38828683,0.42805126,0.040955793,-0.3232964,5.0710416,1.4469905,0.5113772,13.512903,-0.867566
60,0.88872504,0.43487838,0.7703519,16.973503,3.5012403,0.3753483,0.4243343,0.4961915,0.04047773,-0.3753483,3.9576993,1.5390613,0.45417708,13.986977,-0.8702811
60,0.89289117,0.4381781,0.7725852,17.672594,3.437768,0.3878766,0.43734643,0.5085084,0.040246733,-0.3878766,3.7353244,1.5598471,0.4410503,14.153559,-0.87170446
60,0.8860969,0.4261672,0.770112,16.558775,3.5804725,0.3651846,0.4199713,0.480659,0.04098206,-0.3651846,4.114441,1.4853356,0.4650033,14.084087,-0.8701279
60,0.8765861,0.4249407,0.7619413,15.205626,3.6025534,0.34521902,0.4119286,0.4500291,0.04290765,-0.34521902,4.342377,1.4779022,0.48674673,13.9703045,-0.8648884
60,0.87092227,0.41152772,0.76164997,14.494544,3.76881,0.32457578,0.39204672,0.42750898,0.04350191,-0.32457578,4.7442145,1.3986306,0.5099174,14.010885,-0.8647007
60,0.86577266,0.40897647,0.7506,13.900086,3.5445693,0.32892254,0.38904518,0.437963,0.043224804,-0.32892254,4.673265,1.38396,0.5049786,13.137951,-0.8575345
60,0.8460238,0.39235583,0.7420226,11.98902,3.8032985,0.27939954,0.3532419,0.3731129,0.042645864,-0.27939954,6.0369267,1.2914,0.5632333,12.091669,-0.8519092
60,0.8311279,0.38365102,0.7234717,10.843282,3.5823514,0.27001646,0.34985945,0.35844174,0.044746667,-0.27001646,6.0216956,1.2449148,0.5747827,11.483135,-0.83955157
60,0.82073885,0.3695649,0.72662663,10.156912,3.9275565,0.23316541,0.3208408,0.3111612,0.043350503,-0.23316541,7.4274716,1.1724122,0.62184244,11.0704365,-0.84167194
60,0.8169842,0.38378787,0.7250376,9.928013,3.9644978,0.22554937,0.31340328,0.30212015,0.042148497,-0.22554937,7.9247937,1.2456355,0.6319212,10.629555,-0.840605
60,0.83141375,0.3923599,0.73178405,10.863367,3.837551,0.2544269,0.34693778,0.3327677,0.04210482,-0.2544269,6.901331,1.2914221,0.59435356,11.172371,-0.8451216
60,0.856805,0.40870187,0.741031,12.966963,3.4856129,0.31711856,0.38560557,0.4186857,0.044849347,-0.31711856,4.773837,1.3823886,0.51846623,12.889969,-0.85125536
60,0.86671937,0.41281417,0.75071704,14.005936,3.5215585,0.3320623,0.39161882,0.44179296,0.044220533,-0.3320623,4.4976707,1.4060767,0.5014313,13.4681835,-0.857611
60,0.87947494,0.42614833,0.76643044,15.59406,3.6677628,0.34682235,0.40072292,0.46220037,0.042203147,-0.34682235,4.37977,1.4852211,0.48497686,14.09734,-0.8677731
60,0.8869003,0.43405384,0.7700506,16.683521,3.5515578,0.36856264,0.41818234,0.48864284,0.042151306,-0.36856264,3.9329076,1.5339048,0.46138725,14.500877,-0.87008876
60,0.8883488,0.4350132,0.77161205,16.912931,3.5577214,0.3711357,0.41605464,0.49550152,0.042253032,-0.3711357,3.8729024,1.539906,0.45864484,14.68021,-0.8710847
60,0.8802842,0.4287054,0.76359296,15.706234,3.5432673,0.35596004,0.40597793,0.47516432,0.04403692,-0.35596004,4.01027,1.5008209,0.47496974,14.536165,-0.8659515
