Date,biomass,yield,grain_protein,grain_size,esw,lai,grain_protein.1,sws(1),sws(2),sws(3),sws(4),sws(5),sw_stress_expan,sw_stress_fixation,sw_stress_pheno,sw_stress_photo,n_stress_pheno,n_stress_expan,n_stress_grain,n_stress_photo,temp_stress_photo_co2,temp_stress_photo,esw.1,eo,es,eos,TTAfterflowering,TTAftergermination,TTAfterharvest_ripe,TTAftermaturity,n_uptake,sw_stress_expan.1,site,year
2024-06-07,11961.4,4228.0,,0.048,151.867,2.113,,0.079,0.133,0.285,0.302,0.328,0.967,0.0,0.0,0.867,0.0,0.0,0.0,0.0,1.0,1.0,151.867,3.551,0.681,0.681,622.65,1568.836,0.0,0.0,,0.967,plot1.out,2024
2024-06-07,11961.4,4228.0,,0.048,151.867,2.113,,0.079,0.133,0.285,0.302,0.328,0.967,0.0,0.0,0.867,0.0,0.0,0.0,0.0,1.0,1.0,151.867,3.551,0.681,0.681,622.65,1568.836,0.0,0.0,,0.967,plot2.out,2024
2024-06-07,12785.1,4601.2,,0.05,135.873,2.64,,0.12,0.142,0.212,0.3,0.328,0.906,0.0,0.0,0.806,0.0,0.0,0.0,0.0,1.0,1.0,135.873,3.521,0.671,0.671,622.65,1568.836,0.0,0.0,,0.906,plot3.out,2024
2024-06-07,12785.1,4601.2,,0.05,135.873,2.64,,0.12,0.142,0.212,0.3,0.328,0.906,0.0,0.0,0.806,0.0,0.0,0.0,0.0,1.0,1.0,135.873,3.521,0.671,0.671,622.65,1568.836,0.0,0.0,,0.906,plot4.out,2024
2024-06-07,11455.0,4123.9,,0.05,178.591,2.201,,0.098,0.16,0.309,0.336,0.329,0.882,0.0,0.0,0.782,0.0,0.0,0.0,0.0,1.0,1.0,178.591,3.546,0.689,0.689,606.0,1563.399,0.0,0.0,,0.882,plot5.out,2024
2024-06-07,11455.0,4123.9,,0.05,178.591,2.201,,0.098,0.16,0.309,0.336,0.329,0.882,0.0,0.0,0.782,0.0,0.0,0.0,0.0,1.0,1.0,178.591,3.546,0.689,0.689,606.0,1563.399,0.0,0.0,,0.882,plot6.out,2024
2024-06-07,12862.0,4581.7,,0.05,185.249,2.686,,0.112,0.187,0.324,0.343,0.329,0.81,0.0,0.0,0.71,0.0,0.0,0.0,0.0,1.0,1.0,185.249,3.52,0.677,0.677,606.0,1563.399,0.0,0.0,,0.81,plot7.out,2024
2024-06-07,12862.0,4581.7,,0.05,185.249,2.686,,0.112,0.187,0.324,0.343,0.329,0.81,0.0,0.0,0.71,0.0,0.0,0.0,0.0,1.0,1.0,185.249,3.52,0.677,0.677,606.0,1563.399,0.0,0.0,,0.81,plot8.out,2024
