Feature,Importance
CVI_개화기,0.22689864114570774
NDRE_분얼후기,0.21134143347871256
NDRE_개화후2주,0.08982220111779032
GNDVI_분얼후기,0.05868037922217269
엽록소함량(µmol/m2)_개화기,0.031084735553955748
GNDVI_개화후2주,0.02325436624203225
군집(LAI)_개화기,0.019249947350739434
CVI_개화후2주,0.01924793197774404
초장(cm)_분얼전기,0.01817861048696806
CVI_분얼전기,0.017293434128114592
NDRE_분얼전,0.017089404771802603
CVI_개화후4주,0.01494142074493184
NDVI_분얼후기,0.01431445606024048
군집(LAI)_개화후4주,0.013151073266563054
엽록소함량(µmol/m2)_개화후4주,0.012681238513845033
RVI_분얼후기,0.011942046082653937
수장(cm)_개화후4주,0.011419581323703335
간장(cm)_개화기,0.011394128375798753
NDVI_개화기,0.010947400617051557
군집(LAI)_개화후2주,0.009651233960299651
엽록소함량(µmol/m2)_개화후2주,0.009100935051103678
CVI_분얼후기,0.008864398373376721
SPAD_분얼전기,0.008528867751980813
1수영화수_개화기,0.008371821035935787
GNDVI_개화기,0.007234761011908963
유수길이(mm)_분얼전기,0.007044836977745278
RVI_분얼전,0.006881577744485918
NDRE_분얼전기,0.006682887631360325
SPAD_분얼후기,0.006453111953675549
CVI_분얼전,0.0060383725038564125
LAI_분얼후기,0.005926647709112951
NDRE_개화후4주,0.005727833874135211
GNDVI_분얼전,0.005320432562222004
NDVI_분얼전기,0.005287121116294328
GNDVI_분얼전기,0.005202283007410558
NDVI_분얼전,0.0051980939403918035
RVI_분얼전기,0.005091664666804576
NDVI_개화후2주,0.00468633873697127
NDVI_개화후4주,0.004442626466392452
RVI_개화후4주,0.004207949472760835
RVI_개화기,0.004019520905668958
간장(cm)_개화후2주,0.003700948807027186
간장(cm)_개화후4주,0.0036197035483745478
RVI_개화후2주,0.003527213279794246
NDRE_개화기,0.003166868299652761
LAI_분얼전기,0.0031279574059668914
GNDVI_개화후4주,0.0027731947738923735
수장(cm)_개화기,0.002717701326791541
수장(cm)_개화후2주,0.001126240081363656
시비,0.0010983472293622726
초장(cm)_분얼후기,0.0010628922692051228
파종,0.0009804760396923487
관개,0.00020271002445477776
