Feature ID,240509_NDVI,240509_NDRE,240509_GNDVI,240509_RVI,240509_CVI,240509_NGRDI,240509_GLI,240509_VARI,240509_BI,240509_CI,240509_RI,240509_CIRE,240509_GI,240509_TVI,240509_CIG
60,0.7910014,0.34564406,0.7187606,8.569444,4.358386,0.16743375,0.2828181,0.21926637,0.037912544,-0.16743375,11.65096,1.0564406,0.7131593,8.925026,-0.8363708
60,0.78238904,0.35177973,0.7259317,8.190715,4.8418107,0.13067655,0.25480402,0.17122598,0.037683666,-0.13067655,13.991726,1.085371,0.7688525,8.952445,-0.8412056
60,0.79416615,0.34919068,0.72308147,8.716574,4.441826,0.16696228,0.2852248,0.21753614,0.041747287,-0.16696228,10.604765,1.0730968,0.71385145,10.037827,-0.8392887
60,0.79287666,0.33033192,0.7080607,8.656084,3.9545765,0.19338109,0.30577967,0.2515212,0.044954956,-0.19338109,8.673494,0.98655427,0.6759106,10.220034,-0.8290814
60,0.78558874,0.36570778,0.7192582,8.3278675,4.503335,0.15249838,0.27986065,0.19670245,0.037149373,-0.15249838,12.776171,1.1531208,0.7353604,8.674959,-0.8367076
60,0.80142146,0.3623353,0.742523,9.071576,5.0489106,0.14545438,0.26621428,0.19051775,0.03753304,-0.14545438,13.081863,1.1364446,0.746032,9.815375,-0.852239
60,0.8028784,0.34417647,0.7155726,9.146016,3.9778042,0.20519231,0.30632547,0.27090514,0.044044822,-0.20519231,8.364033,1.0496008,0.65948623,10.465692,-0.8342085
60,0.80755436,0.34281948,0.7048031,9.392544,3.5509272,0.23849419,0.3366391,0.31130934,0.04722392,-0.23849419,6.64531,1.0433037,0.6148643,10.866491,-0.826844
60,0.7719642,0.32735166,0.6917266,7.77055,3.8755803,0.17217901,0.29172152,0.22326705,0.048420347,-0.17217901,8.916759,0.9733219,0.706224,10.040758,-0.8177759
60,0.7453185,0.31677255,0.6863951,6.8529444,4.2196436,0.1206415,0.24472544,0.15880227,0.045896966,-0.1206415,12.058284,0.9272828,0.78469205,8.941171,-0.8140383
60,0.8237863,0.37100726,0.73927706,10.3498535,4.299768,0.21613951,0.31782877,0.2834995,0.035945535,-0.21613951,9.722925,1.179687,0.6445482,9.692412,-0.85009694
