반복,조사지,초장(cm)_분얼전기,유수길이(mm)_분얼전기,SPAD_분얼전기,LAI_분얼전기,초장(cm)_분얼후기,SPAD_분얼후기,LAI_분얼후기,간장(cm)_개화기,수장(cm)_개화기,엽록소함량(µmol/m2)_개화기,군집(LAI)_개화기,경수(20*20cm2)_개화기,1수영화수_개화기,간장(cm)_개화후2주,수장(cm)_개화후2주,엽록소함량(µmol/m2)_개화후2주,군집(LAI)_개화후2주,간장(cm)_개화후4주,수장(cm)_개화후4주,엽록소함량(µmol/m2)_개화후4주,군집(LAI)_개화후4주,NDVI_분얼전,NDVI_분얼전기,NDVI_분얼후기,NDVI_개화기,NDVI_개화후2주,NDVI_개화후4주,NDVI_수확기,NDRE_분얼전,NDRE_분얼전기,NDRE_분얼후기,NDRE_개화기,NDRE_개화후2주,NDRE_개화후4주,NDRE_수확기,GNDVI_분얼전,GNDVI_분얼전기,GNDVI_분얼후기,GNDVI_개화기,GNDVI_개화후2주,GNDVI_개화후4주,GNDVI_수확기,RVI_분얼전,RVI_분얼전기,RVI_분얼후기,RVI_개화기,RVI_개화후2주,RVI_개화후4주,RVI_수확기,CVI_분얼전,CVI_분얼전기,CVI_분얼후기,CVI_개화기,CVI_개화후2주,CVI_개화후4주,CVI_수확기,drone_yield,관개,시비,파종
10,Plot 6,17,1,38.7,0.04,45,46.4,1.16,61,5.0,48.8,1.69,,44,70,9,54,1.34,58,7,43.5,0.2,0.113592431,0.182075717,0.504803265,0.5980997,0.582533858,0.601872473,0.560096723,0.036899558,0.07610977,0.227257777,0.303626872,0.248956462,0.224449261,0.238837671,0.308508301,0.369930376,0.569930201,0.682270819,0.658017313,0.670805925,0.589701899,1.258810396,1.462416851,3.409878185,4.797894276,3.826371275,4.35523502,4.533943211,0.027912271,0.05038481,0.010569953,0.02213157,0.013463934,0.008478549,0.016871013,260.0404341,0,1,1
1,Plot 7,16.5,1,30.7,0.02,39,41.5,0.68,52,7.0,45.2,0.82,34,39,57,7,42,0.73,53,6,16.7,0.12,0.120573622,0.199212001,0.567279227,0.701357068,0.652110626,0.470073294,0.426496056,0.040563324,0.090129243,0.260064204,0.349136546,0.310329705,0.1535742,0.174214766,0.310680543,0.382752179,0.599378819,0.718740091,0.6924927,0.613349701,0.484711692,1.277166077,1.507808972,3.844244523,5.971523903,4.820775069,2.797097253,2.523235279,0.030717316,0.047082461,0.009874962,0.013024245,0.016359389,0.009387529,0.013880977,200.8178295,1,1,1
2,Plot 7,19,1,31.1,0.02,39,41.8,0.89,57,7.0,51.1,0.71,28,38,58,7,42.4,0.74,53,7,20.2,0.14,0.109523704,0.154233425,0.407569395,0.471628261,0.569124891,0.533477232,0.417631538,0.039836919,0.072344556,0.177776617,0.218851535,0.251108374,0.171752208,0.163075341,0.312447847,0.359303348,0.511817048,0.601638103,0.637344669,0.621734209,0.477502694,1.247441824,1.36978265,2.564965431,3.078985538,3.785179815,3.391960756,2.70604305,0.029380637,0.049995499,0.011529761,0.022252151,0.024395879,0.009191549,0.018605991,163.0192248,1,1,1
3,Plot 7,17.5,1.5,36.7,0.02,40,42.6,0.91,60,7.0,47.3,0.82,45,40,58,7,42.5,0.74,53.5,7,23.9,0.15,0.108500838,0.160206424,0.354294836,0.515508873,0.644688205,0.609561592,0.534645294,0.041614501,0.08065721,0.153083848,0.23122397,0.295746544,0.213930759,0.199679316,0.31247725,0.371243805,0.488823746,0.623645458,0.680387759,0.65231316,0.511791532,1.244799234,1.384842894,2.134602089,3.376956955,4.748674095,4.18555619,3.401737556,0.024709665,0.044586187,0.012634375,0.019894144,0.017449742,0.008910311,0.013564837,177.9837209,1,1,1
4,Plot 7,17,2,38.6,0.03,41,42.9,0.96,59,7.0,54.3,1.03,20,37,60,7,42.7,0.82,55,7,26.9,0.15,0.126707013,0.189950115,0.395348776,0.523818679,0.635518627,0.739166391,0.716436343,0.044649804,0.085470996,0.165266921,0.235194604,0.293457987,0.304924394,0.261981185,0.336035881,0.391804495,0.533688686,0.631237875,0.676081054,0.706551237,0.548780574,1.293777803,1.483050285,2.433943216,3.477809423,4.567956282,7.228334679,6.621874729,0.032383857,0.050470192,0.011740374,0.02208848,0.020285879,0.008271746,0.015789386,121.9586047,1,1,1
5,Plot 7,17.7,1.5,39,0.03,41.5,43.3,1.0,56,10.0,52.1,0.79,21,41,60,7,43.8,0.88,56.5,6.5,32,0.15,0.145922417,0.189853099,0.350005798,0.436470608,0.483623233,0.630936322,0.798750829,0.057319427,0.088656388,0.146866777,0.189034555,0.207325901,0.233486774,0.411222617,0.361814025,0.393229331,0.499280683,0.589137946,0.609235307,0.669236826,0.691743108,1.347223701,1.483048217,2.176330555,2.795786102,2.956943827,4.567317304,12.59022762,0.030188192,0.046707992,0.013159385,0.022832459,0.025962462,0.007549576,0.01010067,76.86124031,1,1,1
6,Plot 7,22,2,40.2,0.03,41.5,44.1,1.03,54,8.0,46.7,0.57,32,33,61,7,44.4,0.91,57,6,36,0.15,0.120558432,0.208156769,0.526140427,0.690871886,0.67181049,0.598700005,0.453606625,0.038041486,0.091982999,0.232184966,0.345471844,0.346885867,0.236375263,0.229299634,0.318934378,0.399108771,0.589142802,0.72566259,0.717287066,0.672015653,0.577498593,1.278530385,1.543048883,3.397486496,6.004630172,5.594131473,4.032778137,3.169149399,0.031265213,0.047982858,0.011354213,0.014068366,0.016620318,0.009489643,0.017252259,292.3173643,1,1,1
7,Plot 7,18.5,2,40.3,0.03,42,45.1,1.18,62,6.0,47.4,0.74,,42,63,6,46.3,0.93,59,5.5,36.7,0.15,0.127305701,0.19727276,0.465938212,0.530332778,0.495847342,0.551162383,0.624117512,0.047083514,0.089878391,0.213886429,0.249158798,0.21969354,0.194318659,0.261945488,0.320074877,0.38845629,0.554454024,0.643626343,0.619205044,0.641426204,0.616209087,1.296538577,1.506851897,3.117702484,3.750430185,3.014218088,3.736208984,6.376428312,0.030001083,0.047796452,0.010908953,0.019658922,0.016863725,0.008294148,0.016348502,225.4460465,1,1,1
8,Plot 7,14.5,1.5,41.4,0.04,42,48,1.47,52,7.0,51.4,0.76,,36,64,7,46.3,0.97,59,6,36.8,0.16,0.137681837,0.187650314,0.430459252,0.50259342,0.528461955,0.491917314,0.478971845,0.057069198,0.089960972,0.182551846,0.225391213,0.234143324,0.17401177,0.23628843,0.347537605,0.387407438,0.535011703,0.626243515,0.630175678,0.624904284,0.572968242,1.322392065,1.474422682,2.6070536,3.261201609,3.33607647,2.994799151,3.45656096,0.028994852,0.044683933,0.012115634,0.020352931,0.020297752,0.008890617,0.00989465,91.09178295,1,1,1
9,Plot 7,22.1,2,41.7,0.04,42,49.5,1.56,51,7.0,50.1,0.8,,43,64,7,47.3,1.01,60,6,39,0.16,0.119773404,0.161527888,0.381557035,0.442656656,0.632198658,0.705770751,0.616115389,0.043540468,0.076553518,0.157290859,0.187475955,0.274704567,0.270424622,0.242009985,0.315309637,0.368613777,0.507495987,0.594568552,0.678774731,0.712274163,0.598846703,1.274675823,1.390530508,2.302310067,2.767915902,4.535548916,6.025593445,5.374353904,0.027099129,0.047269033,0.011523586,0.024688346,0.018030125,0.007097065,0.012326978,76.04573643,1,1,1
