Date,biomass,yield,grain_protein,grain_size,esw,lai,grain_protein.1,sws(1),sws(2),sws(3),sws(4),sws(5),sws(6),sw_stress_expan,sw_stress_fixation,sw_stress_pheno,sw_stress_photo,n_stress_pheno,n_stress_expan,n_stress_grain,n_stress_photo,temp_stress_photo_co2,temp_stress_photo,esw.1,eo,es,eos,TTAfterflowering,TTAftergermination,TTAfterharvest_ripe,TTAftermaturity,n_uptake,sw_stress_expan.1,site,year
2023-06-15,2386.9,892.3,6.022,0.039,176.091,0.18,6.022,0.26,0.268,0.276,0.318,0.346,0.35,0.0,0.0,0.0,0.0,0.0,0.257,0.457,0.457,1.0,1.0,176.091,6.035,0.484,3.211,745.75,1714.058,0.0,0.0,1.51,0.0,Plot1.out,2023
2023-06-15,12171.2,4065.3,14.773,0.05,104.3,2.144,14.773,0.174,0.201,0.219,0.241,0.259,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,104.3,5.665,0.691,1.177,745.75,1714.058,0.0,0.0,18.36,0.0,Plot2.out,2023
2023-06-15,12171.2,4065.3,14.773,0.05,104.3,2.144,14.773,0.174,0.201,0.219,0.241,0.259,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,104.3,5.665,0.691,1.177,745.75,1714.058,0.0,0.0,18.36,0.0,Plot3.out,2023
2023-06-15,3158.4,1176.5,6.083,0.039,176.19,0.217,6.083,0.26,0.268,0.276,0.318,0.347,0.351,0.0,0.0,0.0,0.0,0.0,0.328,0.568,0.568,1.0,1.0,176.19,6.024,0.495,2.757,745.75,1714.058,0.0,0.0,1.99,0.0,Plot4.out,2023
2023-06-15,3158.4,1176.5,6.083,0.039,176.19,0.217,6.083,0.26,0.268,0.276,0.318,0.347,0.351,0.0,0.0,0.0,0.0,0.0,0.328,0.568,0.568,1.0,1.0,176.19,6.024,0.495,2.757,745.75,1714.058,0.0,0.0,1.99,0.0,Plot5.out,2023
2023-06-15,12171.2,4065.3,14.773,0.05,104.3,2.144,14.773,0.174,0.201,0.219,0.241,0.259,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,104.3,5.665,0.691,1.177,745.75,1714.058,0.0,0.0,18.36,0.0,Plot6.out,2023
2023-06-15,12171.2,4065.3,14.773,0.05,104.3,2.144,14.773,0.174,0.201,0.219,0.241,0.259,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,104.3,5.665,0.691,1.177,745.75,1714.058,0.0,0.0,18.36,0.0,Plot7.out,2023
2023-06-15,3158.4,1176.5,6.083,0.039,176.19,0.217,6.083,0.26,0.268,0.276,0.318,0.347,0.351,0.0,0.0,0.0,0.0,0.0,0.328,0.568,0.568,1.0,1.0,176.19,6.024,0.495,2.757,745.75,1714.058,0.0,0.0,1.99,0.0,Plot8.out,2023
